student_id,subject,attempts
1,Math,5
1,Science,5
1,English,4
1,History,2
2,Math,1
2,Science,4
2,English,4
2,History,4
3,Math,4
3,Science,1
3,English,2
3,History,1
4,Math,1
4,Science,4
4,English,3
4,History,3
5,Math,5
5,Science,4
5,English,2
5,History,2
6,Math,4
6,Science,5
6,English,5
6,History,2
7,Math,4
7,Science,2
7,English,4
7,History,3
8,Math,3
8,Science,2
8,English,3
8,History,1
9,Math,2
9,Science,3
9,English,4
9,History,2
10,Math,1
10,Science,1
10,English,1
10,History,5
11,Math,3
11,Science,4
11,English,1
11,History,1
12,Math,2
12,Science,2
12,English,5
12,History,1
13,Math,2
13,Science,5
13,English,2
13,History,3
14,Math,1
14,Science,1
14,English,4
14,History,5
15,Math,4
15,Science,1
15,English,1
15,History,3
16,Math,5
16,Science,4
16,English,3
16,History,5
17,Math,1
17,Science,5
17,English,4
17,History,2
18,Math,2
18,Science,2
18,English,5
18,History,1
19,Math,1
19,Science,1
19,English,1
19,History,1
20,Math,1
20,Science,4
20,English,3
20,History,2
21,Math,2
21,Science,2
21,English,2
21,History,4
22,Math,1
22,Science,1
22,English,2
22,History,2
23,Math,1
23,Science,1
23,English,5
23,History,5
24,Math,1
24,Science,5
24,English,2
24,History,3
25,Math,2
25,Science,4
25,English,5
25,History,5
26,Math,4
26,Science,5
26,English,3
26,History,2
27,Math,1
27,Science,4
27,English,5
27,History,1
28,Math,4
28,Science,2
28,English,1
28,History,1
29,Math,2
29,Science,2
29,English,5
29,History,2
30,Math,5
30,Science,5
30,English,2
30,History,3
31,Math,4
31,Science,4
31,English,4
31,History,1
32,Math,5
32,Science,1
32,English,4
32,History,4
33,Math,3
33,Science,4
33,English,5
33,History,1
34,Math,3
34,Science,2
34,English,3
34,History,1
35,Math,1
35,Science,5
35,English,1
35,History,3
36,Math,2
36,Science,5
36,English,5
36,History,2
37,Math,2
37,Science,4
37,English,5
37,History,4
38,Math,1
38,Science,1
38,English,3
38,History,3
39,Math,3
39,Science,1
39,English,4
39,History,5
40,Math,3
40,Science,5
40,English,2
40,History,1
41,Math,5
41,Science,2
41,English,5
41,History,3
42,Math,4
42,Science,3
42,English,4
42,History,1
43,Math,2
43,Science,5
43,English,5
43,History,4
44,Math,1
44,Science,2
44,English,3
44,History,1
45,Math,4
45,Science,3
45,English,1
45,History,2
46,Math,5
46,Science,3
46,English,4
46,History,1
47,Math,4
47,Science,3
47,English,4
47,History,1
48,Math,1
48,Science,4
48,English,2
48,History,3
49,Math,3
49,Science,1
49,English,3
49,History,5
50,Math,1
50,Science,4
50,English,2
50,History,5
51,Math,1
51,Science,3
51,English,2
51,History,1
52,Math,4
52,Science,1
52,English,1
52,History,1
53,Math,2
53,Science,1
53,English,1
53,History,5
54,Math,5
54,Science,4
54,English,1
54,History,2
55,Math,5
55,Science,4
55,English,1
55,History,1
56,Math,2
56,Science,1
56,English,1
56,History,4
57,Math,3
57,Science,1
57,English,1
57,History,2
58,Math,5
58,Science,5
58,English,5
58,History,1
59,Math,2
59,Science,2
59,English,3
59,History,4
60,Math,2
60,Science,5
60,English,3
60,History,1
61,Math,2
61,Science,1
61,English,5
61,History,4
62,Math,2
62,Science,2
62,English,2
62,History,4
63,Math,4
63,Science,4
63,English,1
63,History,4
64,Math,2
64,Science,2
64,English,5
64,History,1
65,Math,3
65,Science,2
65,English,2
65,History,2
66,Math,2
66,Science,1
66,English,1
66,History,2
67,Math,3
67,Science,5
67,English,1
67,History,2
68,Math,1
68,Science,5
68,English,3
68,History,1
69,Math,1
69,Science,1
69,English,5
69,History,5
70,Math,5
70,Science,5
70,English,3
70,History,5
71,Math,1
71,Science,5
71,English,1
71,History,1
72,Math,3
72,Science,2
72,English,2
72,History,1
73,Math,2
73,Science,1
73,English,5
73,History,4
74,Math,3
74,Science,1
74,English,5
74,History,5
75,Math,3
75,Science,3
75,English,1
75,History,4
76,Math,3
76,Science,4
76,English,5
76,History,3
77,Math,3
77,Science,3
77,English,3
77,History,3
78,Math,5
78,Science,2
78,English,2
78,History,4
79,Math,1
79,Science,4
79,English,5
79,History,1
80,Math,5
80,Science,3
80,English,1
80,History,3
81,Math,1
81,Science,4
81,English,1
81,History,1
82,Math,5
82,Science,5
82,English,5
82,History,5
83,Math,2
83,Science,5
83,English,5
83,History,3
84,Math,2
84,Science,3
84,English,1
84,History,2
85,Math,1
85,Science,3
85,English,3
85,History,1
86,Math,2
86,Science,3
86,English,1
86,History,3
87,Math,3
87,Science,4
87,English,5
87,History,4
88,Math,5
88,Science,3
88,English,5
88,History,1
89,Math,3
89,Science,2
89,English,4
89,History,3
90,Math,1
90,Science,4
90,English,3
90,History,1
91,Math,5
91,Science,3
91,English,1
91,History,2
92,Math,1
92,Science,5
92,English,2
92,History,5
93,Math,2
93,Science,3
93,English,4
93,History,5
94,Math,4
94,Science,5
94,English,2
94,History,4
95,Math,5
95,Science,1
95,English,5
95,History,5
96,Math,4
96,Science,2
96,English,2
96,History,4
97,Math,5
97,Science,2
97,English,5
97,History,5
98,Math,2
98,Science,1
98,English,1
98,History,1
99,Math,5
99,Science,5
99,English,5
99,History,3
100,Math,3
100,Science,1
100,English,5
100,History,4
